"","lon","lat"
"299",-76.75,46.75
"300",-76.5,46.75
"301",-76.25,46.75
"302",-76,46.75
"303",-75.75,46.75
"304",-75.5,46.75
"305",-75.25,46.75
"306",-75,46.75
"307",-74.75,46.75
"308",-74.5,46.75
"309",-74.25,46.75
"310",-74,46.75
"311",-73.75,46.75
"312",-73.5,46.75
"313",-73.25,46.75
"314",-73,46.75
"315",-72.75,46.75
"316",-72.5,46.75
"317",-72.25,46.75
"318",-72,46.75
"319",-71.75,46.75
"320",-71.5,46.75
"321",-71.25,46.75
"322",-71,46.75
"323",-70.75,46.75
"324",-70.5,46.75
"325",-70.25,46.75
"326",-70,46.75
"327",-69.75,46.75
"328",-69.5,46.75
"329",-69.25,46.75
"330",-69,46.75
"331",-68.75,46.75
"332",-68.5,46.75
"333",-68.25,46.75
"334",-68,46.75
"335",-67.75,46.75
"336",-67.5,46.75
"337",-67.25,46.75
"338",-67,46.75
"339",-66.75,46.75
"340",-66.5,46.75
"341",-66.25,46.75
"342",-66,46.75
"343",-80,46.5
"344",-79.75,46.5
"345",-79.5,46.5
"346",-79.25,46.5
"347",-79,46.5
"348",-78.75,46.5
"349",-78.5,46.5
"350",-78.25,46.5
"351",-78,46.5
"352",-77.75,46.5
"353",-77.5,46.5
"354",-77.25,46.5
"355",-77,46.5
"356",-76.75,46.5
"357",-76.5,46.5
"358",-76.25,46.5
"359",-76,46.5
"360",-75.75,46.5
"361",-75.5,46.5
"362",-75.25,46.5
"363",-75,46.5
"364",-74.75,46.5
"365",-74.5,46.5
"366",-74.25,46.5
"367",-74,46.5
"368",-73.75,46.5
"369",-73.5,46.5
"370",-73.25,46.5
"371",-73,46.5
"372",-72.75,46.5
"373",-72.5,46.5
"374",-72.25,46.5
"375",-72,46.5
"376",-71.75,46.5
"377",-71.5,46.5
"378",-71.25,46.5
"379",-71,46.5
"380",-70.75,46.5
"381",-70.5,46.5
"382",-70.25,46.5
"383",-70,46.5
"384",-69.75,46.5
"385",-69.5,46.5
"386",-69.25,46.5
"387",-69,46.5
"388",-68.75,46.5
"389",-68.5,46.5
"390",-68.25,46.5
"391",-68,46.5
"392",-67.75,46.5
"393",-67.5,46.5
"394",-67.25,46.5
"395",-67,46.5
